Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
112,2015,NBA,1,24,CLE,Tyus Jones,19.05,G,,Duke University,2016,2016,9,10.9,3,1.7,1.6,0.4,0.1,0.355,0.333,0.5,0.6,-0.1,-0.041
113,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,,Louisiana State University,2016,2016,2,4.5,1,0,0,0,0,0.2,0.2,,,-0.1,-0.338
114,2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,,University of Notre Dame,2016,2016,13,2.9,0.8,0.5,0.1,0.2,0,0.25,0.143,0.4,1,-0.1,-0.142
115,2015,NBA,2,46,MIL,Norman Powell,22.036,G,,University of California Los Angeles,2016,2016,15,5.1,1.4,1.1,0.2,0.4,0,0.313,0.346,0.167,0,-0.1,-0.064
116,2013,NBA,2,35,PHI,Glen Rice,22.183,G,,Georgia Institute of Technology,2014,2015,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,-0.065
117,2013,NBA,2,56,DET,Peyton Siva,22.252,G,,University of Louisville,2014,2014,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,-0.032
118,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,,,2015,2016,10,2.5,1,0.3,0,0.1,0.1,0.308,0.2,0.667,,-0.2,-0.321
119,2014,NBA,2,36,MIL,Johnny O'Bryant III,21.03,F-C,,Louisiana State University,2015,2016,69,12.9,3.3,2.5,0.6,0.3,0.1,0.404,0.402,1,0.556,-0.2,-0.01
120,2014,NBA,2,47,PHI,Russ Smith,23.074,G,,University of Louisville,2015,2016,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,-0.062
121,2014,NBA,2,56,DEN,Roy Devyn Marble,21.283,G-F,,University of Iowa,2015,2016,22,10.1,1.8,1.5,0.8,0.5,0.1,0.306,0.44,0.167,0.294,-0.2,-0.047
122,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,,University of Notre Dame,2016,2016,36,15.8,4.7,1.8,2.2,0.5,0.1,0.345,0.407,0.128,0.849,-0.2,-0.015
123,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,,University of California Los Angeles,2015,2016,115,24.3,10.9,2.9,3.4,0.7,0.1,0.417,0.448,0.327,0.844,-0.3,-0.005
124,2013,NBA,1,30,PHO,Nemanja Nedovic,22.017,G,,,2014,2014,24,5.9,1.1,0.6,0.5,0,0,0.205,0.238,0.167,0.875,-0.4,-0.132
125,2014,NBA,2,34,NYK,Cleanthony Early,23.076,F,,Wichita State University,2015,2016,49,13.9,4.4,2,0.8,0.5,0.3,0.359,0.424,0.261,0.75,-0.4,-0.026
126,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,,University of Louisville,2016,2016,16,6,1.7,1,0.6,0,0,0.261,0.286,0.182,1,-0.4,-0.177
127,2015,NBA,1,17,MIL,Rashad Vaughn,18.317,G,,University of Nevada Las Vegas,2016,2016,31,10.3,2.3,1.3,0.4,0.3,0.2,0.294,0.209,0.381,0.857,-0.4,-0.06
128,2015,NBA,2,34,LAL,Anthony Brown,22.263,F,,Stanford University,2016,2016,14,15.9,2.4,1.9,0.6,0.5,0.3,0.229,0.28,0.174,1,-0.4,-0.081
129,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,,Syracuse University,2015,2016,49,11.9,3.6,1.1,1.8,0.4,0.1,0.374,0.408,0.286,0.706,-0.5,-0.039
130,2013,NBA,2,43,MIL,Ricky Ledo,20.295,G,,Providence College,2014,2015,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,-0.096
131,2014,NBA,1,15,ATL,Adreian Payne,23.133,F,,Michigan State University,2015,2016,60,16.9,4.8,3.7,0.7,0.5,0.3,0.406,0.418,0.3,0.667,-0.6,-0.028
132,2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,,,2016,2016,24,29.5,10.7,3.5,5.8,1,0.7,0.312,0.332,0.25,0.682,-1.9,-0.128
133,2013,NBA,1,28,SAS,Livio Jean-Charles,19.236,F,,,,,,,,,,,,,,,,,
134,2013,NBA,2,32,OKC,Alex Abrines,19.335,G,,,,,,,,,,,,,,,,,
135,2013,NBA,2,42,PHI,Pierre Jackson,21.308,G,,Baylor University,,,,,,,,,,,,,,,
136,2013,NBA,2,45,POR,Marko Todorovic,21.074,F,,,,,,,,,,,,,,,,,
137,2013,NBA,2,51,ORL,Romero Osby,,,,University of Oklahoma,,,,,,,,,,,,,,,
138,2013,NBA,2,53,IND,Colton Iverson,24.004,C,,Colorado State University,,,,,,,,,,,,,,,
139,2013,NBA,2,54,WAS,Arsalan Kazemi,23.072,F,,University of Oregon,,,,,,,,,,,,,,,
140,2013,NBA,2,57,PHO,Alex Oriakhi,23.012,F,,University of Missouri,,,,,,,,,,,,,,,
141,2013,NBA,2,58,SAS,Deshaun Thomas,21.308,F,,Ohio State University,,,,,,,,,,,,,,,
142,2013,NBA,2,59,MIN,Bojan Dubljevic,21.252,F-C,,,,,,,,,,,,,,,,,
143,2013,NBA,2,60,MEM,Janis Timma,21,F,,,,,,,,,,,,,,,,,
144,2014,NBA,1,3,PHI,Joel Embiid,20.107,C,,University of Kansas,,,,,,,,,,,,,,,
145,2014,NBA,1,12,ORL,Dario Saric,20.084,F,,,,,,,,,,,,,,,,,
146,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,,,,,,,,,,,,,,,,,
147,2014,NBA,1,29,OKC,Josh Huestis,22.195,F,,Stanford University,,,,,,,,,,,,,,,
148,2014,NBA,2,37,TOR,DeAndre Daniels,22.077,F,,University of Connecticut,,,,,,,,,,,,,,,
149,2014,NBA,2,50,PHO,Alec Brown,21.343,F-C,,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,
150,2014,NBA,2,51,NYK,Thanasis Antetokounmpo,21.349,F,,,,,,,,,,,,,,,,,
151,2014,NBA,2,52,PHI,Vasilije Micic,20.169,G,,,,,,,,,,,,,,,,,
152,2014,NBA,2,53,MIN,Alessandro Gentile,21.231,F,,,,,,,,,,,,,,,,,
153,2014,NBA,2,54,PHI,Nemanja Dangubic,21.079,G,,,,,,,,,,,,,,,,,
